Time[s] - Voltage	Amplitude [V] - Voltage	
0.0721	-2.74627	
0.0722	-2.45721	
0.0723	-2.1209	
0.0724	-1.78557	
0.0725	-1.45122	
0.0726	-1.11654	
0.0727	-0.782834	
0.0728	-0.44848	
0.0729	-0.114777	
0.073	0.220229	
0.0731	0.553606	
0.0732	0.890242	
0.0733	1.22362	
0.0734	1.5583	
0.0735	1.89428	
0.0736	2.23059	
0.0737	2.5656	
0.0738	2.66076	
0.0739	2.32542	
0.074	1.99009	
0.0741	1.65476	
0.0742	1.32073	
0.0743	0.988006	
0.0744	0.653652	
0.0745	0.321253	
0.0746	-0.0111465	
0.0747	-0.343546	
0.0748	-0.676271	
0.0749	-1.00965	
0.075	-1.34107	
0.0751	-1.67477	
0.0752	-2.00815	
0.0753	-2.3412	
0.0754	-2.67523	
0.0755	-2.52923	
0.0756	-2.19325	
0.0757	-1.85792	
0.0758	-1.52519	
0.0759	-1.18986	
0.076	-0.85518	
0.0761	-0.521803	
0.0762	-0.1881	
0.0763	0.14658	
0.0764	0.480609	
0.0765	0.816267	
0.0766	1.15095	
0.0767	1.4853	
0.0768	1.81966	
0.0769	2.15564	
0.077	2.4913	
0.0771	2.73571	
0.0772	2.39842	
0.0773	2.06439	
0.0774	1.72906	
0.0775	1.39536	
0.0776	1.06133	
0.0777	0.728279	
0.0778	0.39425	
0.0779	0.0625028	
0.078	-0.269571	
0.0781	-0.603273	
0.0782	-0.934369	
0.0783	-1.2697	
0.0784	-1.6008	
0.0785	-1.9345	
0.0786	-2.26722	
0.0787	-2.60093	
0.0788	-2.60549	
0.0789	-2.26853	
0.079	-1.93352	
0.0791	-1.59884	
0.0792	-1.26449	
0.0793	-0.928829	
0.0794	-0.595778	
0.0795	-0.261749	
0.0796	0.072931	
0.0797	0.407285	
0.0798	0.740988	
0.0799	1.07567	
0.08	1.41035	
0.0801	1.74601	
0.0802	2.08199	
0.0803	2.417	
0.0804	2.75298	
0.0805	2.4724	
0.0806	2.13706	
0.0807	1.80206	
0.0808	1.46803	
0.0809	1.13368	
0.081	0.800624	
0.0811	0.467574	
0.0812	0.134848	
0.0813	-0.197877	
0.0814	-0.530602	
0.0815	-0.863327	
0.0816	-1.1954	
0.0817	-1.52845	
0.0818	-1.86183	
0.0819	-2.19488	
0.082	-2.5276	
0.0821	-2.67751	
0.0822	-2.3425	
0.0823	-2.00685	
0.0824	-1.67184	
0.0825	-1.33748	
0.0826	-1.00378	
0.0827	-0.66845	
0.0828	-0.334421	
0.0829	-0.000392381	
0.083	0.333962	
0.0831	0.668317	
0.0832	1.00235	
0.0833	1.33833	
0.0834	1.67301	
0.0835	2.00736	
0.0836	2.34367	
0.0837	2.67966	
0.0838	2.54768	
0.0839	2.21137	
0.084	1.87636	
0.0841	1.54298	
0.0842	1.20895	
0.0843	0.875577	
0.0844	0.5422	
0.0845	0.209475	
0.0846	-0.12325	
0.0847	-0.455975	
0.0848	-0.789026	
0.0849	-1.1211	
0.085	-1.45448	
0.0851	-1.78753	
0.0852	-2.12058	
0.0853	-2.4533	
0.0854	-2.75311	
0.0855	-2.41615	
0.0856	-2.08049	
0.0857	-1.74516	
0.0858	-1.41048	
0.0859	-1.07613	
0.086	-0.743076	
0.0861	-0.407418	
0.0862	-0.0740416	
0.0863	0.259987	
0.0864	0.594993	
0.0865	0.929674	
0.0866	1.26435	
0.0867	1.59936	
0.0868	1.93502	
0.0869	2.271	
0.087	2.60601	
0.0871	2.6197	
0.0872	2.28436	
0.0873	1.94968	
0.0874	1.61533	
0.0875	1.28065	
0.0876	0.947271	
0.0877	0.615198	
0.0878	0.281495	
0.0879	-0.0512299	
0.088	-0.383303	
0.0881	-0.716354	
0.0882	-1.04875	
0.0883	-1.3818	
0.0884	-1.71616	
0.0885	-2.04791	
0.0886	-2.38128	
0.0887	-2.71401	
0.0888	-2.48948	
0.0889	-2.15382	
0.089	-1.81849	
0.0891	-1.48348	
0.0892	-1.14847	
0.0893	-0.813793	
0.0894	-0.479764	
0.0895	-0.146713	
0.0896	0.187315	
0.0897	0.521996	
0.0898	0.857328	
0.0899	1.19038	
0.09	1.52636	
0.0901	1.86169	
0.0902	2.19768	
0.0903	2.53203	
0.0904	2.69334	
0.0905	2.35801	
0.0906	2.02235	
0.0907	1.688	
0.0908	1.35332	
0.0909	1.01864	
0.091	0.686566	
0.0911	0.354493	
0.0912	0.0211158	
0.0913	-0.310958	
0.0914	-0.644008	
0.0915	-0.977711	
0.0916	-1.31076	
0.0917	-1.64284	
0.0918	-1.97556	
0.0919	-2.30959	
0.092	-2.64231	
0.0921	-2.56117	
0.0922	-2.22649	
0.0923	-1.89018	
0.0924	-1.5555	
0.0925	-1.22049	
0.0926	-0.887442	
0.0927	-0.553739	
0.0928	-0.218407	
0.0929	0.114644	
0.093	0.450302	
0.0931	0.783353	
0.0932	1.11901	
0.0933	1.45434	
0.0934	1.78902	
0.0935	2.12501	
0.0936	2.46034	
0.0937	2.76797	
0.0938	2.42905	
0.0939	2.09372	
0.094	1.75872	
0.0941	1.42501	
0.0942	1.09098	
0.0943	0.758586	
0.0944	0.425535	
0.0945	0.0931356	
0.0946	-0.240893	
0.0947	-0.573292	
0.0948	-0.906343	
0.0949	-1.23842	
0.095	-1.57082	
0.0951	-1.90484	
0.0952	-2.23855	
0.0953	-2.57095	
0.0954	-2.63449	
0.0955	-2.29851	
0.0956	-1.96383	
0.0957	-1.62817	
0.0958	-1.29316	
0.0959	-0.959136	
0.096	-0.625433	
0.0961	-0.291405	
0.0962	0.0429499	
0.0963	0.375349	
0.0964	0.711659	
0.0965	1.04601	
0.0966	1.38102	
0.0967	1.7157	
0.0968	2.05103	
0.0969	2.38669	
0.097	2.72235	
0.0971	2.50303	
0.0972	2.16802	
0.0973	1.83139	
0.0974	1.49801	
0.0975	1.16496	
0.0976	0.830931	
0.0977	0.498858	
0.0978	0.165155	
0.0979	-0.167896	
0.098	-0.500295	
0.0981	-0.832694	
0.0982	-1.16574	
0.0983	-1.4988	
0.0984	-1.83217	
0.0985	-2.1649	
0.0986	-2.4986	
0.0987	-2.70847	
0.0988	-2.37118	
0.0989	-2.03585	
0.099	-1.70052	
0.0991	-1.36649	
0.0992	-1.03213	
0.0993	-0.698105	
0.0994	-0.364076	
0.0995	-0.0300476	
0.0996	0.304307	
0.0997	0.639313	
0.0998	0.97269	
0.0999	1.30802	
