Time[s] - Voltage	Amplitude [V] - Voltage	
0.0746	-2.76973	
0.0747	-2.77039	
0.0748	-2.76973	
0.0749	-2.77006	
0.075	-2.76908	
0.0751	-2.77039	
0.0752	-2.77071	
0.0753	-2.76973	
0.0754	-2.76973	
0.0755	-2.76941	
0.0756	-2.77071	
0.0757	-2.77071	
0.0758	-2.77104	
0.0759	2.796	
0.076	2.79143	
0.0761	2.79078	
0.0762	2.78883	
0.0763	2.78818	
0.0764	2.78883	
0.0765	2.78818	
0.0766	2.78883	
0.0767	2.7885	
0.0768	2.78981	
0.0769	2.78883	
0.077	2.78687	
0.0771	2.78981	
0.0772	2.78785	
0.0773	2.78752	
0.0774	2.78883	
0.0775	2.78752	
0.0776	2.78818	
0.0777	2.78818	
0.0778	2.7885	
0.0779	2.7885	
0.078	2.78883	
0.0781	2.78818	
0.0782	2.78785	
0.0783	2.7872	
0.0784	2.78818	
0.0785	2.7872	
0.0786	2.78883	
0.0787	2.78818	
0.0788	2.7885	
0.0789	2.7885	
0.079	2.78915	
0.0791	2.78883	
0.0792	2.78915	
0.0793	2.78818	
0.0794	2.78883	
0.0795	2.7885	
0.0796	2.78948	
0.0797	2.78818	
0.0798	2.7885	
0.0799	2.78948	
0.08	2.78818	
0.0801	2.78915	
0.0802	2.78981	
0.0803	2.7885	
0.0804	2.7885	
0.0805	2.78915	
0.0806	2.79013	
0.0807	2.78883	
0.0808	2.78948	
0.0809	2.78818	
0.081	2.78818	
0.0811	2.78785	
0.0812	2.78883	
0.0813	2.78883	
0.0814	2.78883	
0.0815	2.78915	
0.0816	2.78883	
0.0817	2.78981	
0.0818	2.78948	
0.0819	2.7885	
0.082	2.7885	
0.0821	-2.77332	
0.0822	-2.77234	
0.0823	-2.77071	
0.0824	-2.77006	
0.0825	-2.76973	
0.0826	-2.77006	
0.0827	-2.76941	
0.0828	-2.76973	
0.0829	-2.76941	
0.083	-2.76973	
0.0831	-2.76941	
0.0832	-2.76941	
0.0833	-2.76941	
0.0834	-2.77006	
0.0835	-2.76908	
0.0836	-2.76973	
0.0837	-2.76908	
0.0838	-2.76973	
0.0839	-2.77006	
0.084	-2.77039	
0.0841	-2.77006	
0.0842	-2.76778	
0.0843	-2.77006	
0.0844	-2.76973	
0.0845	-2.76908	
0.0846	-2.77104	
0.0847	-2.76876	
0.0848	-2.76973	
0.0849	-2.76973	
0.085	-2.76973	
0.0851	-2.77039	
0.0852	-2.77039	
0.0853	-2.77071	
0.0854	-2.77006	
0.0855	-2.76876	
0.0856	-2.77104	
0.0857	-2.77104	
0.0858	-2.77039	
0.0859	-2.76973	
0.086	-2.77104	
0.0861	-2.77039	
0.0862	-2.77006	
0.0863	-2.76973	
0.0864	-2.77039	
0.0865	-2.77006	
0.0866	-2.77202	
0.0867	-2.77039	
0.0868	-2.77104	
0.0869	-2.77006	
0.087	-2.76973	
0.0871	-2.76973	
0.0872	-2.77104	
0.0873	-2.77071	
0.0874	-2.76973	
0.0875	-2.77136	
0.0876	-2.77039	
0.0877	-2.77104	
0.0878	-2.77071	
0.0879	-2.77039	
0.088	-2.77071	
0.0881	-2.77234	
0.0882	2.79404	
0.0883	2.79241	
0.0884	2.78948	
0.0885	2.79013	
0.0886	2.78818	
0.0887	2.78818	
0.0888	2.78818	
0.0889	2.78785	
0.089	2.7885	
0.0891	2.7885	
0.0892	2.78818	
0.0893	2.78785	
0.0894	2.78818	
0.0895	2.7885	
0.0896	2.78785	
0.0897	2.7885	
0.0898	2.78915	
0.0899	2.78883	
0.09	2.78785	
0.0901	2.78818	
0.0902	2.78915	
0.0903	2.78883	
0.0904	2.7885	
0.0905	2.78818	
0.0906	2.7885	
0.0907	2.78883	
0.0908	2.78818	
0.0909	2.78883	
0.091	2.7885	
0.0911	2.78687	
0.0912	2.7872	
0.0913	2.79176	
0.0914	2.7885	
0.0915	2.78915	
0.0916	2.78687	
0.0917	2.79046	
0.0918	2.7885	
0.0919	2.78948	
0.092	2.7885	
0.0921	2.78981	
0.0922	2.78915	
0.0923	2.79013	
0.0924	2.78818	
0.0925	2.78948	
0.0926	2.78915	
0.0927	2.78883	
0.0928	2.78948	
0.0929	2.78981	
0.093	2.78883	
0.0931	2.78948	
0.0932	2.78981	
