Time[s] - Voltage_0	Amplitude [V] - Voltage_0	
0.0674	0.000284129	
0.0675	0.000557237	
0.0676	0.00048896	
0.0677	0.00048896	
0.0678	0.000352406	
0.0679	0.000215852	
0.068	0.000284129	
0.0681	0.000147575	
0.0682	7.92975E-5	
0.0683	7.92975E-5	
0.0684	0.00048896	
0.0685	0.000147575	
0.0686	0.000215852	
0.0687	0.000147575	
0.0688	0.000557237	
0.0689	0.000284129	
0.069	0.000420683	
0.0691	0.000284129	
0.0692	0.000284129	
0.0693	0.000147575	
0.0694	0.000284129	
0.0695	0.000284129	
0.0696	0.000352406	
0.0697	0.000284129	
0.0698	0.000352406	
0.0699	0.000352406	
0.07	0.000420683	
0.0701	0.000420683	
0.0702	0.000352406	
0.0703	0.000352406	
0.0704	0.000625514	
0.0705	0.000215852	
0.0706	0.000147575	
0.0707	7.92975E-5	
0.0708	0.000284129	
0.0709	0.000557237	
0.071	0.000147575	
0.0711	7.92975E-5	
0.0712	0.000215852	
0.0713	1.10204E-5	
0.0714	0.000352406	
0.0715	0.000352406	
0.0716	0.000215852	
0.0717	0.000215852	
0.0718	7.92975E-5	
0.0719	0.000284129	
0.072	7.92975E-5	
0.0721	1.10204E-5	
0.0722	0.00048896	
0.0723	0.00048896	
0.0724	7.92975E-5	
0.0725	0.000284129	
0.0726	0.000352406	
0.0727	0.000147575	
0.0728	7.92975E-5	
0.0729	0.000284129	
0.073	0.000215852	
0.0731	0.000352406	
0.0732	0.00048896	
0.0733	0.000352406	
0.0734	0.00048896	
0.0735	0.000215852	
0.0736	-5.72567E-5	
0.0737	-5.72567E-5	
0.0738	0.000420683	
0.0739	7.92975E-5	
0.074	0.000557237	
0.0741	0.000284129	
0.0742	0.000352406	
0.0743	7.92975E-5	
0.0744	7.92975E-5	
0.0745	0.000284129	
0.0746	0.000352406	
0.0747	0.000284129	
0.0748	0.000352406	
0.0749	0.000557237	
0.075	0.000420683	
0.0751	0.00048896	
0.0752	0.000147575	
0.0753	0.000215852	
0.0754	0.000352406	
0.0755	0.00048896	
0.0756	0.000352406	
0.0757	-5.72567E-5	
0.0758	0.00048896	
0.0759	0.000147575	
0.076	0.000420683	
0.0761	7.92975E-5	
0.0762	1.10204E-5	
0.0763	0.000352406	
0.0764	0.000420683	
0.0765	-0.000125534	
0.0766	-5.72567E-5	
0.0767	0.000284129	
0.0768	0.000284129	
0.0769	0.000215852	
0.077	0.00048896	
0.0771	0.000215852	
0.0772	0.00048896	
0.0773	0.000147575	
0.0774	0.000352406	
0.0775	0.000284129	
0.0776	0.00048896	
0.0777	0.000693791	
0.0778	7.92975E-5	
0.0779	7.92975E-5	
0.078	0.000215852	
0.0781	0.000352406	
0.0782	1.10204E-5	
0.0783	0.000147575	
0.0784	1.10204E-5	
0.0785	0.000215852	
0.0786	0.000352406	
0.0787	0.000284129	
0.0788	0.000215852	
0.0789	0.000215852	
0.079	7.92975E-5	
0.0791	0.000352406	
0.0792	7.92975E-5	
0.0793	0.000284129	
0.0794	0.000215852	
0.0795	0.000352406	
0.0796	0.000420683	
0.0797	1.10204E-5	
0.0798	-0.000330365	
0.0799	7.92975E-5	
0.08	7.92975E-5	
0.0801	7.92975E-5	
0.0802	1.10204E-5	
0.0803	0.000352406	
0.0804	0.000284129	
0.0805	0.000352406	
0.0806	0.000420683	
0.0807	0.000215852	
0.0808	1.10204E-5	
0.0809	0.000420683	
0.081	0.000147575	
0.0811	0.000284129	
0.0812	0.000420683	
0.0813	-5.72567E-5	
0.0814	0.000215852	
0.0815	0.000147575	
0.0816	0.000147575	
0.0817	0.000557237	
0.0818	0.000284129	
0.0819	0.000284129	
0.082	0.000147575	
0.0821	0.000284129	
0.0822	0.000284129	
0.0823	0.000215852	
0.0824	0.00048896	
0.0825	0.000215852	
0.0826	0.000215852	
0.0827	7.92975E-5	
0.0828	0.000420683	
0.0829	0.000352406	
0.083	7.92975E-5	
0.0831	0.000215852	
0.0832	0.000147575	
0.0833	0.000625514	
0.0834	0.000284129	
0.0835	7.92975E-5	
0.0836	0.000284129	
0.0837	0.000420683	
0.0838	0.000284129	
0.0839	0.000693791	
0.084	0.000215852	
0.0841	0.000352406	
0.0842	0.000693791	
0.0843	0.00048896	
0.0844	-0.000125534	
0.0845	7.92975E-5	
0.0846	0.00048896	
0.0847	0.000147575	
0.0848	0.000215852	
0.0849	0.000352406	
0.085	0.000147575	
0.0851	0.000215852	
0.0852	0.000420683	
0.0853	0.000284129	
0.0854	0.000557237	
0.0855	7.92975E-5	
0.0856	0.000147575	
0.0857	0.000420683	
0.0858	0.00048896	
0.0859	0.000284129	
0.086	0.00048896	
0.0861	0.000284129	
0.0862	0.00048896	
0.0863	0.000420683	
0.0864	0.000284129	
0.0865	1.10204E-5	
0.0866	1.10204E-5	
0.0867	7.92975E-5	
0.0868	0.000284129	
0.0869	0.00048896	
0.087	0.000420683	
0.0871	0.000284129	
0.0872	0.00048896	
0.0873	0.000420683	
0.0874	0.000147575	
0.0875	0.000215852	
0.0876	0.000762068	
0.0877	0.000352406	
0.0878	0.000420683	
0.0879	0.000147575	
0.088	-5.72567E-5	
0.0881	-5.72567E-5	
0.0882	0.000215852	
0.0883	0.000215852	
0.0884	7.92975E-5	
0.0885	0.000215852	
0.0886	0.000215852	
0.0887	0.000420683	
0.0888	-5.72567E-5	
0.0889	7.92975E-5	
0.089	0.000284129	
0.0891	7.92975E-5	
0.0892	0.000284129	
0.0893	0.000215852	
0.0894	0.000147575	
0.0895	0.000147575	
0.0896	0.000147575	
0.0897	-0.000125534	
0.0898	0.000147575	
0.0899	7.92975E-5	
0.09	0.00048896	
0.0901	0.000420683	
0.0902	0.000147575	
0.0903	0.000284129	
0.0904	0.000147575	
0.0905	1.10204E-5	
0.0906	0.000352406	
0.0907	7.92975E-5	
0.0908	0.000284129	
0.0909	0.000420683	
0.091	0.000420683	
0.0911	0.000284129	
0.0912	0.000215852	
0.0913	7.92975E-5	
0.0914	0.000352406	
0.0915	1.10204E-5	
0.0916	7.92975E-5	
0.0917	7.92975E-5	
0.0918	0.000147575	
0.0919	0.00048896	
0.092	7.92975E-5	
0.0921	7.92975E-5	
0.0922	0.000420683	
0.0923	1.10204E-5	
0.0924	0.000352406	
0.0925	7.92975E-5	
0.0926	1.10204E-5	
0.0927	0.00048896	
0.0928	1.10204E-5	
0.0929	0.000215852	
0.093	-0.000125534	
0.0931	0.000147575	
0.0932	0.000284129	
0.0933	-5.72567E-5	
0.0934	0.000284129	
0.0935	0.000215852	
0.0936	0.000352406	
0.0937	0.000352406	
0.0938	0.000352406	
0.0939	0.000625514	
0.094	0.000557237	
0.0941	0.000420683	
0.0942	0.000420683	
0.0943	0.000352406	
0.0944	0.000147575	
0.0945	0.000284129	
0.0946	0.000215852	
0.0947	0.000625514	
0.0948	0.000147575	
0.0949	0.000625514	
0.095	0.000284129	
0.0951	0.000147575	
0.0952	0.000420683	
0.0953	0.000352406	
0.0954	0.000215852	
0.0955	0.000284129	
0.0956	0.00048896	
0.0957	0.000352406	
0.0958	0.000284129	
0.0959	0.000625514	
0.096	-5.72567E-5	
0.0961	-5.72567E-5	
0.0962	0.00048896	
0.0963	0.000420683	
0.0964	0.000215852	
0.0965	1.10204E-5	
0.0966	0.000215852	
0.0967	7.92975E-5	
0.0968	0.000215852	
0.0969	0.000352406	
0.097	0.00048896	
0.0971	-0.000193811	
0.0972	0.000420683	
0.0973	0.000147575	
0.0974	0.000284129	
0.0975	0.000215852	
0.0976	0.00048896	
0.0977	0.000147575	
0.0978	-5.72567E-5	
0.0979	-0.000125534	
0.098	0.000284129	
0.0981	0.000420683	
0.0982	0.000215852	
0.0983	7.92975E-5	
0.0984	0.00048896	
0.0985	0.000284129	
0.0986	7.92975E-5	
0.0987	0.000352406	
0.0988	0.000215852	
0.0989	0.000147575	
0.099	0.000215852	
0.0991	0.000420683	
0.0992	0.00048896	
0.0993	0.000625514	
0.0994	0.000284129	
0.0995	0.000693791	
0.0996	0.000420683	
0.0997	0.000420683	
0.0998	7.92975E-5	
0.0999	0.000352406	
